step,time,dt,kinetic_energy,strain_energy,dissipation_rate,integrated_dissipation,total_energy
1,0.0,0.001,0.02648030636775212,2.806031179424876e-07,0.010174864706378219,1.0174864706378218e-05,0.02649076183557644
20,0.01900000000000001,0.001,0.026211925165139448,0.00019402633314097198,0.008590726280233121,0.00017770855894823102,0.02658366005722865
40,0.03900000000000003,0.001,0.025590796828527825,0.0006380670277800104,0.008223965546998734,0.0003456740751859201,0.026574537931493756
60,0.059000000000000045,0.001,0.024707223142900355,0.0014913694768541909,0.007880102709758198,0.0005064238899763717,0.02670501650973092
80,0.07900000000000006,0.001,0.023632608078850058,0.002394566558074087,0.007593127790845912,0.0006608773851820352,0.026688052022106182
100,0.09900000000000007,0.001,0.022463802704717258,0.003344204601681128,0.007411970724130265,0.0008107524633781899,0.026618759769776578
120,0.11900000000000009,0.001,0.021290940642923098,0.004473669921590106,0.007381477180017884,0.000958379965443462,0.026722990529956667
140,0.1390000000000001,0.001,0.0201819462265047,0.005706472596337751,0.007446553999306929,0.0011068634033449772,0.02699528222618743
160,0.1590000000000001,0.001,0.019184418121763257,0.0067804001773167505,0.00752945041125207,0.001256611645127115,0.027221429944207124
180,0.17900000000000013,0.001,0.01836387129311978,0.007486788148672135,0.0077371748199092285,0.0014085905304145807,0.027259249972206495
200,0.19900000000000015,0.001,0.017801398623282266,0.007962600722476579,0.008335094264758112,0.0015692268994868808,0.027333226245245725
220,0.21900000000000017,0.001,0.01745834771793206,0.008046070283907547,0.009025577504550495,0.0017430480552662988,0.027247466057105905
240,0.23900000000000018,0.001,0.01734575028411029,0.008005606271286386,0.009966780077465502,0.0019328506542553693,0.027284207209652047
260,0.2590000000000002,0.001,0.017446955109630086,0.0075118594761515835,0.011217929156383333,0.0021448847939718836,0.027103699379753553
280,0.2790000000000002,0.001,0.017733994030943525,0.0068899488095785135,0.012768846239720634,0.002385363275140851,0.027009306115662886
300,0.2990000000000002,0.001,0.018136027116252378,0.005967764020626549,0.014431012315607292,0.002658623703098707,0.026762414839977634
320,0.31900000000000023,0.001,0.018572417942271647,0.004976045650827216,0.015947942270682258,0.0029635547498519836,0.026512018342950847
340,0.33900000000000025,0.001,0.01894958254323165,0.004315402761915134,0.01718932841902748,0.003295819124961437,0.02656080443010822
360,0.35900000000000026,0.001,0.019209563076855514,0.0035814346516204313,0.018177485862036307,0.0036499181594545527,0.0264409158879305
380,0.3790000000000003,0.001,0.019341115935826506,0.004013088674544787,0.019031854193580087,0.004023043993199257,0.027377248603570548
400,0.3990000000000003,0.001,0.019282670816485707,0.003004561653300063,0.019041946739647136,0.004405682309691545,0.026692914779477314
420,0.4190000000000003,0.001,0.019018334934553825,0.0027199289417723536,0.01841525779856926,0.004780446382325619,0.0265187102586518
440,0.43900000000000033,0.001,0.018591346714023814,0.0027897489905033125,0.01739519662968952,0.0051385918487311345,0.026519687553258262
460,0.45900000000000035,0.001,0.018045822266315494,0.003366913578333776,0.016182851234017363,0.005473761494197958,0.026886497338847227
480,0.47900000000000037,0.001,0.017426415359540367,0.003986983218995748,0.014710214459523772,0.00578264954770324,0.027196048126239356
